2016-04-06 01:46:27,367 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,416 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,466 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,516 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,565 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,617 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,665 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,719 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,765 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,816 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,866 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,924 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,967 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:28,026 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:28,069 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:28,119 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:28,174 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:28,216 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,128 - opened new WebSocketChatHandler
2016-04-06 01:48:18,611 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,629 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,683 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,742 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,785 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,827 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,877 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:18,929 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
